stateAbbreviation,total_project_amount,total_obligated,num_projects
ACT,1089751.95,817313.98,6
AK,721429804.48,676980891.09,616
AL,491858601.19,444560298.43,1569
AR,503158885.55,442423306.73,1172
AS,23333888.01,22700127.87,42
AZ,654190983.24,649378013.42,533
CA,18144377401.97,17655757631.09,9295
CO,1928857469.01,1898769798.11,492
CT,1129642028.9,1113582743.69,1325
CTL,396470.81,359417.45999999996,9
DC,1086223366.02,1070521119.32,823
DE,295359956.85,293419936.47,232
FL,10774283896.69,10433626154.23,10405
GA,2792646231.09,2641097600.27,2650
GU,107391629.92999999,100842853.41,413
HI,1113597209.23,1066521437.82,420
IA,871954477.45,798679045.86,2788
ID,235919736.23999998,232215096.54999998,301
IL,2266600142.62,2248205088.13,2145
IN,217723207.04,210451010.23,866
KS,597997683.9,581993557.8,890
KY,1432893022.16,1218937836.23,6551
LA,10076754339.58,9466852297.89,8408
MA,3385404535.61,3350538418.53,2564
MCN,429667.3,335485.81,6
MD,2534817520.65,2518998468.75,867
ME,627191053.38,577939609.29,3126
MI,1607601881.21,1592082674.3600001,976
MN,687120730.25,658791299.22,3032
MO,1209910278.3,1136974853.69,2117
MP,129197459.24,128478586.8,80
MS,723048843.45,667886378.5600001,2190
MT,160315989.26,143714265.88,402
NC,3555888965.32,3445473753.27,4034
ND,367054073.37,333250253.28,1366
NE,416769449.6,391109777.59999996,1145
NH,380768190.59,368795467.23,1093
NJ,3463817860.65,3389114295.19,5274
NM,982417091.04,954750162.96,872
NV,129104843.54,125657892.0,206
NY,18132989262.33,17818375925.6,7710
OH,620511155.8,616053995.54,429
OK,515164257.47,462825853.55,1372
OR,2591145387.0,2494069019.51,2390
PA,1924947092.37,1884420499.3999999,2512
PR,3216794663.36,2937767447.57,3868
RI,837890018.07,832606728.7,871
SC,1072517288.13,1041731398.38,1723
SD,112497909.13,94144505.2,1023
SWO,1611333.23,1598233.3699999999,10
TCN,260353.0,206137.26,6
TN,1550178947.86,1383525750.55,2648
TX,15196031467.849998,14952144276.48,4661
UT,505295024.71999997,496009946.45,361
VA,1388081112.73,1312959691.51,1229
VI,152055179.17000002,145586810.14000002,87
VT,900217814.99,842635041.23,2883
WA,3226622347.79,3167474411.63,2563
WI,833440045.81,829803563.92,321
WV,323894897.45,301420128.47,1020
WY,92638125.67999999,89480850.37,68
