table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),
".Adjuntas Municipio, Puerto Rico","18,503"
".Aguada Municipio, Puerto Rico","39,260"
".Aguadilla Municipio, Puerto Rico","56,765"
".Aguas Buenas Municipio, Puerto Rico","25,515"
".Aibonito Municipio, Puerto Rico","25,030"
".Añasco Municipio, Puerto Rico","26,645"
".Arecibo Municipio, Puerto Rico","90,083"
".Arroyo Municipio, Puerto Rico","16,888"
".Barceloneta Municipio, Puerto Rico","23,364"
".Barranquitas Municipio, Puerto Rico","29,466"
".Bayamón Municipio, Puerto Rico","191,556"
".Cabo Rojo Municipio, Puerto Rico","48,455"
".Caguas Municipio, Puerto Rico","131,805"
".Camuy Municipio, Puerto Rico","33,505"
".Canóvanas Municipio, Puerto Rico","44,034"
".Carolina Municipio, Puerto Rico","160,905"
".Cataño Municipio, Puerto Rico","24,532"
".Cayey Municipio, Puerto Rico","43,477"
".Ceiba Municipio, Puerto Rico","11,961"
".Ciales Municipio, Puerto Rico","17,539"
".Cidra Municipio, Puerto Rico","41,094"
".Coamo Municipio, Puerto Rico","36,250"
".Comerío Municipio, Puerto Rico","19,502"
".Corozal Municipio, Puerto Rico","35,371"
".Culebra Municipio, Puerto Rico","1,824"
".Dorado Municipio, Puerto Rico","36,721"
".Fajardo Municipio, Puerto Rico","33,408"
".Florida Municipio, Puerto Rico","12,058"
".Guánica Municipio, Puerto Rico","15,372"
".Guayama Municipio, Puerto Rico","39,225"
".Guayanilla Municipio, Puerto Rico","18,798"
".Guaynabo Municipio, Puerto Rico","91,928"
".Gurabo Municipio, Puerto Rico","42,119"
".Hatillo Municipio, Puerto Rico","39,540"
".Hormigueros Municipio, Puerto Rico","16,131"
".Humacao Municipio, Puerto Rico","53,084"
".Isabela Municipio, Puerto Rico","43,711"
".Jayuya Municipio, Puerto Rico","15,334"
".Juana Díaz Municipio, Puerto Rico","47,816"
".Juncos Municipio, Puerto Rico","38,064"
".Lajas Municipio, Puerto Rico","24,005"
".Lares Municipio, Puerto Rico","28,822"
".Las Marías Municipio, Puerto Rico","9,181"
".Las Piedras Municipio, Puerto Rico","36,239"
".Loíza Municipio, Puerto Rico","25,441"
".Luquillo Municipio, Puerto Rico","18,432"
".Manatí Municipio, Puerto Rico","40,805"
".Maricao Municipio, Puerto Rico","5,156"
".Maunabo Municipio, Puerto Rico","11,050"
".Mayagüez Municipio, Puerto Rico","77,177"
".Moca Municipio, Puerto Rico","38,302"
".Morovis Municipio, Puerto Rico","29,862"
".Naguabo Municipio, Puerto Rico","24,369"
".Naranjito Municipio, Puerto Rico","29,656"
".Orocovis Municipio, Puerto Rico","22,005"
".Patillas Municipio, Puerto Rico","16,912"
".Peñuelas Municipio, Puerto Rico","21,476"
".Ponce Municipio, Puerto Rico","145,596"
".Quebradillas Municipio, Puerto Rico","24,271"
".Rincón Municipio, Puerto Rico","15,242"
".Río Grande Municipio, Puerto Rico","49,084"
".Sabana Grande Municipio, Puerto Rico","23,498"
".Salinas Municipio, Puerto Rico","27,375"
".San Germán Municipio, Puerto Rico","32,917"
".San Juan Municipio, Puerto Rico","356,296"
".San Lorenzo Municipio, Puerto Rico","38,697"
".San Sebastián Municipio, Puerto Rico","40,267"
".Santa Isabel Municipio, Puerto Rico","21,161"
".Toa Alta Municipio, Puerto Rico","69,211"
".Toa Baja Municipio, Puerto Rico","79,330"
".Trujillo Alto Municipio, Puerto Rico","69,817"
".Utuado Municipio, Puerto Rico","29,601"
".Vega Alta Municipio, Puerto Rico","36,691"
".Vega Baja Municipio, Puerto Rico","55,857"
".Vieques Municipio, Puerto Rico","8,577"
".Villalba Municipio, Puerto Rico","23,139"
".Yabucoa Municipio, Puerto Rico","32,375"
".Yauco Municipio, Puerto Rico","36,307"
